Total_Reward,Total_Loss,Total_Accuracy,Steps,Epsilons
-149.40285905077317,0.0,0.0,83.0,1.0
-187.90480539533328,0.0,0.0,76.0,0.995
-221.78455767431245,0.0,0.0,111.0,0.990025
-208.6024268573883,0.0,0.0,108.0,0.985074875
-90.75655892340674,0.0,0.0,98.0,0.9801495006250001
-110.60351546994904,0.0,0.0,78.0,0.9752487531218751
-334.99052560679274,0.0,0.0,112.0,0.9703725093562657
-247.8344929198867,0.0,0.0,59.0,0.9655206468094844
-210.73248804293573,0.0,0.0,84.0,0.960693043575437
-165.71512632422093,0.0,0.0,104.0,0.9558895783575597
-160.22275930851288,75.62030410766602,1.21875,88.0,0.9511101304657719
-165.9631303352033,2676.0588815510273,113.65625,142.0,0.946354579813443
-273.75158200070643,1671.4662308692932,57.75,82.0,0.9416228069143757
-227.07414327957875,3674.629120051861,75.875,116.0,0.9369146928798039
-124.84239663999429,2237.768269956112,52.84375,81.0,0.9322301194154049
-109.65032319138903,1397.7294116318226,50.3125,72.0,0.9275689688183278
-269.3196809438025,2907.83138859272,77.0,100.0,0.9229311239742362
-433.7453493354557,1760.9066452980042,80.0625,106.0,0.918316468354365
-154.51879465493923,1702.9356558918953,36.03125,56.0,0.9137248860125932
-111.36766268739433,2090.3777790665627,38.0625,65.0,0.9091562615825302
-198.9936122284061,2532.528208553791,66.46875,112.0,0.9046104802746175
-173.79167846861873,1897.9522232711315,41.375,69.0,0.9000874278732445
-199.83330612083802,2674.3197972476482,79.6875,117.0,0.8955869907338783
-349.19006805454194,2141.963875770569,54.59375,82.0,0.8911090557802088
-305.98301516966836,103119.8640832603,2708.125,5001.0,0.8866535105013078
-159.5692771073871,1879.0220701694489,55.25,106.0,0.8822202429488013
-318.13489133050837,1588.292319536209,46.4375,85.0,0.8778091417340573
-249.45221458512637,1670.150316476822,47.71875,90.0,0.8734200960253871
-435.4771178367968,1327.6037180423737,48.8125,86.0,0.8690529955452602
-502.6597527970413,2614.142213821411,55.4375,101.0,0.8647077305675338
-423.3467331180899,2760.1728093624115,46.25,89.0,0.8603841919146962
-180.94483688214382,1390.051164984703,50.3125,89.0,0.8560822709551227
-367.2620056419669,2084.3763442635536,68.6875,113.0,0.851801859600347
-179.84562604837419,2052.958909034729,48.40625,92.0,0.8475428503023453
-224.30558540807752,1474.895911693573,32.78125,70.0,0.8433051360508336
-156.39328954252073,1533.6621292829514,34.65625,71.0,0.8390886103705794
-604.8192048990402,2509.5781806111336,66.90625,118.0,0.8348931673187264
-389.88943485699673,1464.3576512932777,52.09375,100.0,0.8307187014821328
-280.2077833304532,1666.877409696579,60.59375,108.0,0.8265651079747222
-403.4898956912578,2124.5375915765762,60.40625,105.0,0.8224322824348486
-479.64732659995366,1964.42194968462,49.4375,96.0,0.8183201210226743
-237.81795470060425,2543.472098350525,60.40625,110.0,0.8142285204175609
-194.74291491934662,1407.8482187986374,41.21875,80.0,0.810157377815473
-168.83194125565564,1157.1210914850235,48.0,89.0,0.8061065909263957
-373.42999219810343,1546.506554722786,52.0,99.0,0.8020760579717637
-107.85278071088412,1205.9080288410187,36.25,71.0,0.798065677681905
-174.87881725519577,1326.684434056282,30.375,65.0,0.7940753492934954
-399.5979458261007,2043.9253870248795,57.0,107.0,0.7901049725470279
-183.84600204673842,1087.838661789894,35.78125,66.0,0.7861544476842928
-159.8902432868689,1662.2198653817177,42.09375,80.0,0.7822236754458713
-312.1502454143606,2106.737348794937,50.375,97.0,0.778312557068642
-297.51018145399996,1383.9589442014694,49.5625,98.0,0.7744209942832988
-273.2873633762517,1274.9067989587784,35.3125,71.0,0.7705488893118823
-258.33343168054364,1808.9954960346222,47.21875,92.0,0.7666961448653229
-173.47534514651514,1325.2228152751923,33.46875,64.0,0.7628626641409962
-331.87560816619526,1018.8385773897171,31.15625,60.0,0.7590483508202912
-361.94449856799287,1822.681112408638,43.125,89.0,0.7552531090661897
-376.3377406713128,1591.6049733161926,44.53125,91.0,0.7514768435208588
-182.9530553403514,1895.8777023553848,38.875,81.0,0.7477194593032545
-330.0063772124504,3281.5377225875854,52.46875,105.0,0.7439808620067382
-169.12520023206207,1607.1411670446396,38.03125,74.0,0.7402609576967045
-591.1222400597096,1597.5169370174408,55.5625,107.0,0.736559652908221
-115.15960258951428,1955.5452045202255,53.1875,105.0,0.7328768546436799
-137.42671391621792,988.8609418869019,46.53125,88.0,0.7292124703704616
-278.65569093818056,2009.9141507148743,38.65625,76.0,0.7255664080186093
-295.30880406342794,2140.3608781695366,45.59375,93.0,0.7219385759785162
-155.82631065491879,1449.5198384523392,33.6875,63.0,0.7183288830986236
-336.1354618182183,2224.982058107853,50.9375,102.0,0.7147372386831305
-379.439329581504,2364.0352461338043,55.53125,104.0,0.7111635524897149
-145.66563874407996,2051.5009322166443,43.1875,87.0,0.7076077347272662
-247.85962669997932,1347.810429096222,31.0,61.0,0.7040696960536299
-324.80243916812185,1929.8258115053177,42.625,81.0,0.7005493475733617
-243.59649010843557,2516.2500338554382,51.78125,103.0,0.697046600835495
-333.91800441919463,2932.023212313652,61.09375,123.0,0.6935613678313175
-341.6795251914724,2242.796311855316,57.15625,109.0,0.6900935609921609
-366.08803654165644,2364.9543553590775,58.0625,104.0,0.6866430931872001
-148.0399218104314,1168.7959660291672,29.15625,58.0,0.6832098777212641
-159.59320125954642,1689.9903820753098,38.53125,73.0,0.6797938283326578
-328.67117461200223,1454.2761025428772,35.0,63.0,0.6763948591909945
-548.0566666393693,1848.573965549469,43.5625,82.0,0.6730128848950395
-308.5780754780308,2020.7037864923477,51.6875,96.0,0.6696478204705644
-306.75977441947134,2066.64934194088,41.28125,78.0,0.6662995813682115
-182.6784859165726,2300.769268512726,51.46875,102.0,0.6629680834613705
-288.1847600030202,2396.0815782546997,48.90625,98.0,0.6596532430440636
-412.14695835170573,1778.78775537014,40.53125,82.0,0.6563549768288433
-428.6229053846208,2534.737128973007,54.25,107.0,0.653073201944699
-169.91698618660757,1876.4162278175354,37.09375,71.0,0.6498078359349755
-550.29198712681,2301.7594690322876,51.03125,104.0,0.6465587967553006
-559.3160085583065,2371.6193655729294,53.9375,104.0,0.6433260027715241
-472.5560689365474,2319.6357011795044,53.75,95.0,0.6401093727576664
-419.69478514319997,2066.8426121473312,45.375,85.0,0.6369088258938781
-135.54669669213922,1577.7652430534363,26.96875,57.0,0.6337242817644086
-227.87041195449996,2031.063101530075,42.46875,82.0,0.6305556603555866
-339.2730188489429,2109.3130419254303,44.0,86.0,0.6274028820538087
-458.2435880597871,2146.939877986908,39.125,77.0,0.6242658676435396
-393.14148782184395,2920.8505647182465,73.46875,139.0,0.6211445383053219
-494.25233183134264,1655.9301015138626,46.6875,90.0,0.6180388156137953
-186.46330386814859,2046.1977796554565,53.625,99.0,0.6149486215357263
-210.86920285753945,1934.8197183609009,30.59375,60.0,0.6118738784280476
-436.82445164405345,1839.7629842758179,41.40625,82.0,0.6088145090359074
-361.70193027224866,2358.097020626068,48.6875,86.0,0.6057704364907278
-450.09450476928026,2079.7148954868317,48.5625,92.0,0.6027415843082742
-164.44368692995354,2600.19304561615,37.875,75.0,0.5997278763867329
-168.39565443266164,1904.2459721565247,31.90625,61.0,0.5967292370047992
-240.33584470199074,1206.3423676490784,29.625,56.0,0.5937455908197752
-162.5038004175174,1901.4000037908554,41.0,79.0,0.5907768628656763
-160.3089821029954,1579.172352552414,28.6875,58.0,0.5878229785513479
-246.70417714329733,2705.1996836662292,47.625,101.0,0.5848838636585911
-382.9770535267974,2422.7747797966003,53.78125,96.0,0.5819594443402982
-441.2899571152318,1872.96382522583,32.78125,64.0,0.5790496471185967
-430.14254827716275,2355.7787799835205,57.28125,97.0,0.5761543988830038
-199.90036755996084,2272.318694829941,43.8125,80.0,0.5732736268885887
-405.6397659320066,2208.757148742676,58.78125,114.0,0.5704072587541458
-146.50304765851726,1424.9101071357727,30.0625,60.0,0.567555222460375
-161.70307623713956,2305.6517663002014,40.125,73.0,0.5647174463480732
-268.6447245894661,1342.8411697149277,33.3125,66.0,0.5618938591163328
-520.0745265227008,2666.8721611499786,54.0625,101.0,0.5590843898207511
-424.10405910267195,1940.4864645004272,51.1875,98.0,0.5562889678716474
-246.26268992923227,2761.0985209941864,47.03125,92.0,0.5535075230322891
-184.62734362713792,2154.4588162899017,34.03125,66.0,0.5507399854171277
-280.1688783600017,1362.9063069820404,34.4375,65.0,0.547986285490042
-541.3707187849607,1735.4661685228348,37.96875,72.0,0.5452463540625918
-267.99863463521956,1778.681319475174,43.6875,74.0,0.5425201222922789
-192.705627290859,2149.776458978653,65.09375,115.0,0.5398075216808175
-490.5454165625363,2085.1890897750854,51.1875,92.0,0.5371084840724134
-297.3031226739661,1604.6924333572388,37.34375,71.0,0.5344229416520513
-189.32260577314048,1310.1408231258392,30.03125,57.0,0.531750826943791
-490.414372808801,2440.8252398967743,49.125,85.0,0.5290920728090721
-461.74597740332223,1685.4908363819122,44.34375,79.0,0.5264466124450268
-521.324208950407,3892.9516882896423,90.90625,165.0,0.5238143793828016
-374.1770031014426,1751.020009279251,35.15625,67.0,0.5211953074858876
-285.1007823070146,1876.2909786701202,34.96875,71.0,0.5185893309484582
-160.36255505780798,3767.058445453644,69.15625,129.0,0.5159963842937159
-329.39011259151664,5482.597486972809,111.96875,202.0,0.5134164023722473
-96.64931139248705,1599.9349292516708,32.0625,58.0,0.510849320360386
-373.16365021974866,2229.8474234342575,48.5,92.0,0.5082950737585841
-469.64308075898276,2834.3545758724213,62.78125,116.0,0.5057535983897912
-678.2591719166559,2367.397775888443,50.96875,90.0,0.5032248303978422
-210.75687802933822,1565.4488933086395,33.34375,63.0,0.500708706245853
-164.40798474223166,1738.435498714447,38.25,73.0,0.4982051627146237
-597.6111929062397,1892.498251914978,47.0625,88.0,0.49571413690105054
-458.20440423869314,2271.615513563156,47.96875,85.0,0.4932355662165453
-375.6479680217477,2835.6380434036255,71.375,111.0,0.4907693883854626
-622.7748781884557,2709.830505847931,56.3125,102.0,0.4883155414435353
-254.53799634824722,1852.6349303722382,33.0625,59.0,0.4858739637363176
-211.4789669381325,1525.4256100654602,35.21875,66.0,0.483444593917636
-146.33854068288852,1805.4854483604431,34.875,67.0,0.4810273709480478
-330.77137203463536,2269.640245318413,39.28125,69.0,0.47862223409330756
-381.561171290987,1570.861481666565,32.03125,60.0,0.47622912292284103
-301.7834470494796,1391.8636045455933,35.71875,64.0,0.4738479773082268
-440.68190264225996,2300.62295794487,48.15625,90.0,0.47147873742168567
-443.4654744903512,997.0552408695221,31.0,57.0,0.46912134373457726
-576.4829275677655,2368.938406229019,42.28125,78.0,0.46677573701590436
-217.01829293588224,2071.6709365844727,29.875,56.0,0.46444185833082485
-166.6085163247613,1926.8963205814362,35.4375,73.0,0.46211964903917074
-339.4068857549516,2120.60564494133,33.28125,65.0,0.4598090507939749
-516.6167901331244,1806.2117154598236,41.375,76.0,0.457510005540005
-170.5327633751118,1623.8450961112976,37.6875,71.0,0.45522245551230495
-423.28880250578715,2440.548825263977,54.65625,97.0,0.4529463432347434
-445.0743137982242,1560.654733657837,34.3125,66.0,0.4506816115185697
-93.76735948496034,1596.7559797763824,32.15625,62.0,0.4484282034609769
-554.1389868979959,2020.1862874031067,37.375,70.0,0.446186062443672
-409.6363044276824,2737.9829003810883,45.90625,90.0,0.4439551321314536
-223.32651849210882,2682.388287782669,39.15625,73.0,0.4417353564707963
-486.424697740721,2893.3478515148163,53.65625,99.0,0.43952667968844233
-291.85870521176554,3347.079230070114,58.71875,112.0,0.43732904629000013
-392.95990533871594,2604.4531705379486,56.90625,102.0,0.4351424010585501
-144.79533755931277,2311.592971801758,36.59375,64.0,0.43296668905325736
-267.67069074669337,3990.9749031066895,89.03125,146.0,0.43080185560799106
-281.5848054426571,1471.756965637207,35.0,64.0,0.4286478463299511
-708.1373781992274,2374.488121032715,44.03125,86.0,0.42650460709830135
-262.3237170582919,1715.8711663484573,32.84375,65.0,0.42437208406280985
-381.11368046310537,3567.858255624771,73.5625,135.0,0.4222502236424958
-398.6671380529035,1884.6094660758972,35.0,64.0,0.42013897252428334
-484.9281002432447,2890.0576486587524,62.5,115.0,0.4180382776616619
-285.71364379665033,2132.4095788002014,39.53125,73.0,0.4159480862733536
-537.4598831211601,2283.933481693268,43.84375,80.0,0.41386834584198684
-308.97351265429836,1694.213768005371,44.84375,74.0,0.4117990041127769
-335.81664686632496,3245.7939586639404,57.0625,104.0,0.40974000909221303
-191.11076638727667,1979.682819366455,46.75,91.0,0.40769130904675194
-280.19540744997414,2317.5588109493256,45.71875,83.0,0.40565285250151817
-237.745391418375,2355.7727003097534,50.65625,95.0,0.4036245882390106
-258.60812959639213,1837.1918377876282,35.03125,65.0,0.4016064652978155
-468.2976539587034,1949.0375533103943,37.25,69.0,0.3995984329713264
-306.7872053370256,1621.6819741725922,35.375,64.0,0.3976004408064698
-597.6972007827655,1937.4415640830994,49.5625,89.0,0.39561243860243744
-231.41265671044454,1768.9897511005402,29.21875,55.0,0.3936343764094253
-516.5362089220387,2300.8431992530823,42.75,79.0,0.39166620452737816
-235.63955229027613,1569.7564897537231,40.96875,76.0,0.3897078735047413
-166.88694258997612,2387.635099172592,43.46875,78.0,0.3877593341372176
-697.7850431376709,3446.479511976242,73.46875,129.0,0.3858205374665315
-134.01001172335052,1384.8698258399963,31.71875,58.0,0.38389143477919885
-170.00118145703777,2618.961857676506,53.375,99.0,0.3819719776053028
-569.7641699352745,2217.0154554843903,47.28125,86.0,0.3800621177172763
-134.60600587510697,1185.1198470592499,31.15625,59.0,0.37816180712868996
-186.73711971561923,2002.7196326255798,37.03125,67.0,0.37627099809304654
-227.19767700324232,1588.0863614082336,32.75,61.0,0.3743896431025813
-584.7943148999716,1707.5380823612213,41.1875,73.0,0.37251769488706843
-217.14876202916258,2605.0740921497345,49.375,92.0,0.3706551064126331
-405.59579330004243,2117.2589950561523,40.46875,76.0,0.36880183088056995
-264.1575786465187,2595.654506921768,50.4375,96.0,0.3669578217261671
-804.7092838831212,3636.1546714305878,69.6875,119.0,0.36512303261753626
-181.00356573689564,1770.9375774860382,32.59375,62.0,0.3632974174544486
-155.42550415831968,2335.3662981987,31.46875,61.0,0.3614809303671764
-199.99138549333824,1661.818871974945,35.125,67.0,0.3596735257153405
-551.5194488702957,2168.3790221214294,39.21875,70.0,0.3578751580867638
-227.85684421785288,2215.794269323349,32.0625,61.0,0.35608578229633
-441.5706236649859,2125.032222032547,37.3125,68.0,0.3543053533848483
-525.6664650435312,2977.8350746631622,53.78125,97.0,0.35253382661792404
-567.8183407102013,2205.0937123298645,51.09375,89.0,0.3507711574848344
-313.33128587142915,3099.525689125061,43.875,83.0,0.34901730169741024
-158.01850597664253,5069.172358751297,85.8125,157.0,0.3472722151889232
-295.52479584034813,2284.02640914917,35.59375,66.0,0.3455358541129786
-545.8185661377324,2763.0136709213257,56.9375,99.0,0.3438081748424137
-158.67586747828943,3125.4135930538177,51.53125,100.0,0.3420891339682016
-267.91452185828985,2771.3765392303467,56.28125,104.0,0.3403786882983606
-365.90793428719485,1928.8939073085785,61.03125,92.0,0.3386767948568688
-147.38944966689894,2360.5340051651,41.28125,74.0,0.33698341088258443
-469.70878184535667,2537.4513416290283,40.6875,74.0,0.3352984938281715
-610.9408319435594,1621.77046585083,41.1875,76.0,0.33362200135903064
-620.005854146495,2598.4769201278687,46.40625,82.0,0.33195389135223546
-250.29647775839922,2781.3183057308197,49.0625,91.0,0.3302941218954743
-345.25674049969814,2928.608297586441,51.75,95.0,0.32864265128599696
-216.0061975511132,1994.1672303676605,33.40625,60.0,0.326999438029567
-115.64088641208417,1956.5059914588928,34.6875,64.0,0.3253644408394192
-213.74601137981227,2193.960040330887,38.5,69.0,0.3237376186352221
-327.05840571780675,4308.794196844101,96.59375,172.0,0.322118930542046
-517.3537275404492,3283.9427077770233,67.3125,115.0,0.32050833588933575
-614.0704272294965,2355.6643586158752,47.625,84.0,0.31890579420988907
-627.8894560208329,2640.8029057979584,49.96875,88.0,0.3173112652388396
-439.0267172453042,1775.9391632080078,38.03125,68.0,0.3157247089126454
-140.08305869839188,1825.7093999385834,29.5,55.0,0.3141460853680822
-225.5703927861136,2327.2873306274414,50.875,93.0,0.3125753549412418
-145.35758975511143,1498.875373005867,30.0625,55.0,0.31101247816653554
-325.43013081965614,2119.4309360980988,40.6875,77.0,0.30945741577570285
-251.75786134608984,2475.440716266632,44.75,85.0,0.3079101286968243
-462.45399740868686,2647.6720535755157,52.75,95.0,0.3063705780533402
-720.5454003345923,2623.8573067188263,53.65625,92.0,0.30483872516307353
-486.63752254879984,2946.3565385341644,52.75,93.0,0.3033145315372582
-266.8801162992253,3344.194506406784,65.5,116.0,0.3017979588795719
-144.3205583256233,1479.560383796692,30.875,57.0,0.30028896908517405
-350.272762932319,1599.0773241519928,37.4375,69.0,0.2987875242397482
-408.54743957890025,3557.346771001816,61.875,103.0,0.29729358661854943
-284.45075118808427,2584.7820961475372,54.21875,94.0,0.29580711868545667
-494.21470798595084,5013.323704957962,87.75,158.0,0.2943280830920294
-430.5664926863559,2705.457482814789,43.78125,86.0,0.29285644267656924
-186.96204208794677,1617.4170155525208,30.1875,60.0,0.2913921604631864
-492.83382825850396,2358.412099838257,52.3125,88.0,0.28993519966087045
-220.08415481040748,2283.841386079788,49.46875,88.0,0.2884855236625661
-476.9232816166852,2656.7220587730408,42.9375,81.0,0.28704309604425327
-626.3770591678284,2140.0558722019196,43.84375,75.0,0.285607880564032
-265.23967367140676,2109.8216133117676,35.375,66.0,0.28417984116121187
-396.5919350880877,1504.69877743721,33.8125,64.0,0.2827589419554058
-403.28741034041053,1716.2546503543854,34.59375,63.0,0.28134514724562876
-154.02472685270064,1944.1999471187592,33.96875,62.0,0.2799384215094006
-173.34999719641573,2259.249847173691,41.15625,77.0,0.27853872940185365
-1017.4610003893155,4971.443634748459,82.3125,142.0,0.27714603575484437
-258.2810097132202,1666.2639427185059,36.59375,66.0,0.2757603055760701
-394.9307114947702,4433.444428443909,74.78125,137.0,0.2743815040481898
-561.2664842203233,2107.2430946826935,44.03125,78.0,0.2730095965279488
-429.76439341383144,2332.848109960556,33.34375,61.0,0.27164454854530906
-394.45590397127273,1321.018227338791,31.71875,55.0,0.2702863258025825
-451.11689983334026,2148.0603952407837,35.59375,64.0,0.2689348941735696
-556.2590806633475,2288.2361946105957,41.0625,70.0,0.26759021970270175
-357.3550897745716,5061.513813495636,112.65625,198.0,0.2662522686041882
-472.94917589482327,2532.672892808914,46.59375,84.0,0.2649210072611673
-458.71553296906296,4691.088689804077,96.6875,165.0,0.26359640222486147
-303.81958937421473,1519.08083152771,37.375,71.0,0.26227842021373715
-422.34301756441573,2076.203041791916,31.28125,59.0,0.2609670281126685
-579.8920093207196,2201.026823759079,47.65625,84.0,0.25966219297210513
-140.46489456692433,1488.5239276885986,32.65625,60.0,0.2583638820072446
-172.30231786455195,1425.350916147232,28.78125,56.0,0.2570720625972084
-422.5613737063648,1614.573776960373,32.28125,55.0,0.25578670228422234
-377.1512218411881,1255.149141550064,28.34375,55.0,0.25450776877280124
-712.4196228371511,2381.3300955295563,52.3125,89.0,0.2532352299289372
-224.87971623239181,5570.9374079704285,93.9375,159.0,0.2519690537792925
-343.79639842013194,2676.8051261901855,54.90625,98.0,0.2507092085103961
-474.01052551545365,1299.2082223892212,32.90625,58.0,0.2494556624678441
-385.2114962495914,1788.649498462677,30.65625,57.0,0.24820838415550486
-495.1430093932503,2740.197735309601,54.34375,89.0,0.24696734223472733
-197.0965726003126,2125.185219526291,39.25,68.0,0.2457325055235537
-144.04572863528963,1522.964037179947,31.21875,55.0,0.24450384299593592
-428.7984738698318,2479.0088455677032,44.09375,81.0,0.24328132378095624
-164.21970313728434,1884.4698469638824,30.5,53.0,0.24206491716205145
-297.10285722188473,1788.1614270210266,39.71875,75.0,0.2408545925762412
-256.527107576903,1710.8186705112457,35.40625,73.0,0.23965031961336
-320.57952766694495,2998.778782606125,49.1875,90.0,0.2384520680152932
-727.0286852395883,2853.029138326645,42.3125,80.0,0.23725980767521673
-431.2994072543446,1677.7278271913528,24.0625,48.0,0.23607350863684065
-36.40550615798955,2145.6311391592026,35.84375,64.0,0.23489314109365644
-826.6836020189912,4065.97181892395,71.625,127.0,0.23371867538818816
-41.27221972132645,3456.719401359558,72.78125,129.0,0.23255008201124722
-470.2192206757742,3806.670215368271,78.34375,141.0,0.231387331601191
-617.145044264293,2010.9328055381775,45.9375,80.0,0.23023039494318503
-127.24235438388004,1972.8642621040344,33.5,59.0,0.2290792429684691
-628.0106809019461,4084.528533220291,72.03125,122.0,0.22793384675362674
-216.90796746822627,3265.9133974313736,53.40625,99.0,0.22679417751985861
-376.7895213197752,4257.872041225433,92.4375,152.0,0.22566020663225933
-562.9329871931449,2780.3002665042877,52.53125,93.0,0.22453190559909803
-435.353753855867,1917.415539264679,38.3125,68.0,0.22340924607110255
-148.0851296567327,2824.9638953208923,37.8125,76.0,0.22229219984074702
-674.2561684997679,3457.222108364105,49.53125,95.0,0.2211807388415433
-340.52020078670944,4350.202028512955,73.46875,130.0,0.22007483514733558
-373.91825219248074,1177.6678898334503,29.96875,52.0,0.2189744609715989
-197.96970112266314,2584.5329349040985,48.46875,91.0,0.2178795886667409
-306.63415992197724,2942.682126522064,39.75,76.0,0.2167901907234072
-430.0486944922153,1324.3991587162018,27.59375,53.0,0.21570623976979014
-439.6565056805751,3386.334772825241,54.34375,101.0,0.21462770857094118
-785.3590130649187,2426.9908349514008,49.09375,90.0,0.21355457002808648
-269.6026314290468,3039.9026095867157,61.0,109.0,0.21248679717794605
-161.6907632003532,2150.999342918396,36.5,68.0,0.21142436319205632
-259.3456578914274,1729.7598762512207,41.3125,73.0,0.21036724137609603
-980.4593710289116,2924.6299357414246,60.03125,108.0,0.20931540516921554
-278.4942710731402,1988.7505531311035,46.84375,80.0,0.20826882814336947
-173.55012886347868,1989.0541033744812,37.90625,71.0,0.20722748400265262
-540.7126367892752,1398.1997406482697,38.0,66.0,0.20619134658263935
-528.264911144541,1765.677526831627,35.1875,65.0,0.20516038984972615
-452.952508176762,2225.0540310144424,46.75,87.0,0.2041345879004775
-356.2319212057718,2010.2120954990387,32.59375,61.0,0.2031139149609751
-335.7809320122502,2240.5565433502197,48.59375,90.0,0.20209834538617025
-247.6691880893612,3436.053084373474,67.5625,114.0,0.2010878536592394
-515.5552903942166,2989.2922053337097,54.9375,96.0,0.2000824143909432
-596.4097084317935,1835.162513256073,35.0,68.0,0.19908200231898848
-576.3982701915176,3003.184942960739,45.75,91.0,0.19808659230739353
-500.57176186188457,3116.0289804935455,59.53125,107.0,0.19709615934585656
-632.5106455756724,2769.70942735672,52.96875,98.0,0.19611067854912728
-964.4740882762991,4075.777595758438,71.59375,129.0,0.19513012515638165
-611.9708941285962,2301.360833644867,45.1875,83.0,0.19415447453059972
-382.0247429213964,2058.415117740631,34.78125,65.0,0.19318370215794672
-576.5878047802748,1860.1327140331268,40.96875,75.0,0.192217783647157
3.2221701070582327,1865.3931193351746,41.3125,75.0,0.1912566947289212
-388.66160500200016,2245.609628200531,40.84375,76.0,0.1903004112552766
-180.59856928789745,3281.259916305542,55.28125,99.0,0.18934890919900021
-191.66144678696563,1853.3001885414124,37.09375,65.0,0.18840216465300522
-396.568677834378,3089.3119146823883,49.03125,92.0,0.18746015382974018
-652.1687018396975,2432.3081691265106,38.125,74.0,0.1865228530605915
-365.13729490728144,3466.884196996689,57.375,100.0,0.18559023879528855
-743.2663485527115,2858.78178691864,61.625,115.0,0.1846622876013121
